blockchain,project,version,block_date,tx_hash,nft_contract_address,token_id,buyer,seller,amount_original,platform_fee_amount,royalty_fee_amount
polygon,opensea,v2,2022-02-16,0xdf4927eb3f16ee43ecf2a86553616e14ab398f65f36e75aadfcadf48290894d2,0xeaecd0a4e68b4ce6d7285dfb144cdf9510f70447,1001,0x677f94a7f4677dcb6c005b35ef9cb45933744e1a,0xfb21b47ec799bab68abece39c2ac3869bcc08b0a,0.00064,1.6e-05,0.0
polygon,opensea,v2,2022-02-16,0xa13273bc243072c808f050d75355adc2ef0c671ef889e5239143cc4b4c4d25f7,0xd769705e0f6265f12c13ce85aeb7a1218d655cfd,1,0x94f666ff38c1c911b887c0a252f69ca4ef69c8ec,0x4d88dbf593a0dad711aec4c02a7cee79ef6e725c,0.0148,0.00074,0.00037
polygon,opensea,v2,2022-02-16,0xc02be908ebceb4fc4859ce63ca659075c6e87f1db108715fe550825048380679,0x434f7e5713100ace27310e45a8b78bd82e43054e,1172,0xe0956acaaf1a625fffcb0c4d45f8c9c4c5783265,0x7ba15277dab45be6479aa62209404de3325d2c2f,0.00049815,4.9815e-05,1.245375e-05
polygon,opensea,v2,2022-02-16,0x0bbc701fc57b627e473c493fd41b53d9080258b124d097ecfb76aaeb9a19362b,0xa2a13ce1824f3916fc84c65e559391fc6674e6e8,27090,0xffdf94fd422fde451d5eb262be02e489273b9767,0x2dfd6e8f11a53615415b65cbd8713a7efb60148f,0.085,0.002125,0.002125
polygon,opensea,v2,2022-02-16,0x00f40a4cbc5a22c9386627ab863584980840878d5b185c535d6e0fef3f0ea8c4,0x1e023c813b2947dd77933fa839242739e322674a,0,0xfb21b47ec799bab68abece39c2ac3869bcc08b0a,0x677f94a7f4677dcb6c005b35ef9cb45933744e1a,0.00079,1.975e-05,0.0
polygon,opensea,v2,2022-02-16,0xb86de382c878508e1e39ed0a6065ad36f070a1ddd5460c1565449ff3550391bf,0x434f7e5713100ace27310e45a8b78bd82e43054e,1927,0xe0956acaaf1a625fffcb0c4d45f8c9c4c5783265,0x7ba15277dab45be6479aa62209404de3325d2c2f,0.00049815,4.9815e-05,1.245375e-05
polygon,opensea,v2,2022-02-16,0xe4e2d96e204326a1a57f2959f037353af5cd4181e32ef080dc0ac4fc9f121def,0x89e0077df898d22df9a5bc006e93eb7db2d894f6,64,0x223063c26d94f8692e979144538fbbfd1e6da304,0x323f59c284d07ed63cb7776025bd70a98e3cb769,0.001,5e-05,2.5e-05
polygon,opensea,v2,2022-02-16,0xa1030726be42c66efa66aacc1bc3cca475dc11162171f9f55e5e75166db9304e,0x434f7e5713100ace27310e45a8b78bd82e43054e,22055,0xe0956acaaf1a625fffcb0c4d45f8c9c4c5783265,0x707a547488336b358e1a24b749e4867bffee7aa9,0.000499,4.99e-05,1.2475e-05
polygon,opensea,v2,2022-02-16,0xf2825b120b5a2d239b0df32fd979d66efa35f982e5218c6506abcf8691e272c7,0x4d544035500d7ac1b42329c70eb58e77f8249f0f,2172440082,0x48ed0e89a7124a4e4239849fbb6fda4b56c234ff,0xaf0e122b698628a5c1426965972f8fcdaedd615e,0.000654,1.962e-05,1.635e-05
polygon,opensea,v2,2022-02-16,0xaec27c7969d5191b7495fd2c2a1669300039bf3c0355662d8ba91814f7af786e,0xeaecd0a4e68b4ce6d7285dfb144cdf9510f70447,1001,0x677f94a7f4677dcb6c005b35ef9cb45933744e1a,0xfb21b47ec799bab68abece39c2ac3869bcc08b0a,0.00064,1.6e-05,0.0
polygon,opensea,v2,2022-02-16,0x946b25279b70e9dce9e22c0231fb1fc8abae719e980253aaf17cff5c26362955,0x5e40037d3c0b2afa1495582431f27a83d199a6d8,174,0xbf792bb6ac2900222ecf6d919dbfdecfbcff079a,0xdb07b2a0effa11c8d2f522764442382735717323,0.0075,0.0005625,0.0001875
polygon,opensea,v2,2022-02-16,0xe05d9aa310214438579946bbad1a0e16b9266899c5ffb8a2d9e3aa32b8a4f79a,0x19eb8a3ecd7e7e377e07de339c03c61931cfe543,3906,0x408130934adce05d82d8dc3706e29d02d91cf886,0xbf3e3ac6d97ca151953f709cfc2c4ff6d7ad2b38,0.00261,0.000261,6.525e-05
